ID,Longitude,Latitude,Area
150430-0036,120.2233889,42.46791667,4200 
150430-0106,120.2675833,42.34886111,6000 
150430-0109,120.286,42.34519444,9425 
150430-0116,120.30175,42.35027778,20000 
150430-0118,120.31625,42.35469444,60000 
150430-0119,120.3168889,42.33788889,23560 
150430-0121,120.3034722,42.34008333,2800 
150430-0123,120.2996944,42.33686111,4800 
150430-0124,120.2961389,42.33669444,471 
150430-0125,120.2951944,42.33538889,628 
150430-0128,120.2772778,42.35391667,4800 
150430-0130,120.3383333,42.37361111,800 
150430-0131,120.3396944,42.37361111,460 
150430-0135,120.3390556,42.37130556,62500 
150430-0139,120.3328889,42.33319444,15000 
150430-0195,120.4129722,42.36441667,60000 
150430-0199,120.4249167,42.36655556,160000 
150430-0202,120.4214722,42.33072222,0 
150430-0218,120.3135,42.29375,3000 
150430-0224,120.2881111,42.2875,240 
150430-0225,120.3133611,42.25611111,8000 
150430-0226,120.3095,42.25638889,20000 
150430-0231,120.3735556,42.22108333,8000 
150430-0251,120.4026389,42.29038889,9000 
150430-0264,120.38175,42.28455556,10000 
150430-0271,120.3146389,42.25425,6400 
150430-0272,120.3128611,42.25319444,2400 
150430-0275,120.3060278,42.22913889,1800 
150430-0277,120.3053333,42.23163889,40000 
150430-0286,119.8582778,42.09772222,12000 
150430-0287,119.8676111,42.08427778,2500 
150430-0298,119.8976667,42.06769444,20000 
150430-0301,119.9143889,42.09952778,20000 
150430-0309,119.9123889,42.20219444,900 
150430-0317,119.8472778,42.09147222,2500 
150430-0326,119.9248056,41.98272222,0 
150430-0327,119.9378889,41.99522222,2000 
150430-0328,119.9429167,42.00991667,4000 
150430-0342,119.9521667,42.02955556,2500 
150430-0343,119.9516667,42.02880556,3000 
150430-0351,120.0190278,42.04875,2000 
150430-0352,120.0235833,42.05683333,2500 
150430-0361,119.95525,42.15833333,6000 
150430-0364,119.9574167,42.16169444,20000 
150430-0365,119.9585833,42.16525,5000 
150430-0367,119.9712778,42.17791667,10000 
150430-0368,119.9070556,42.11980556,10000 
150430-0371,119.9560833,42.17436111,500 
150430-0377,119.9351667,42.12452778,20000 
150430-0381,119.9771389,42.16072222,500 
150430-0386,119.9348333,42.19044444,1000 
150430-0390,119.9589722,42.11394444,123 
150430-0393,120.0350278,42.09902778,400 
150430-0395,119.9349167,42.185,20000 
150430-0400,119.9566389,42.17227778,10000 
150430-0465,119.91025,42.50541667,20000 
150430-0467,119.8646111,42.48705556,600 
150430-0483,119.8518889,42.64113889,100 
150430-0484,119.8489444,42.47386111,0 
150430-0485,119.8493611,42.47508333,0 
150430-0486,119.8448056,42.47688889,800 
150430-0494,119.8302222,42.43891667,10000 
150430-0513,120.0474444,42.47527778,5000 
150430-0560,120.0384444,42.14919444,177 
150430-0561,120.0404444,42.14591667,314 
150430-0563,120.04425,42.15063889,10000 
150430-0565,120.0071667,42.152,3000 
150430-0583,120.0089167,42.159,15000 
150430-0588,120.0932222,42.22966667,900 
150430-0592,120.0635556,42.23063889,20000 
150430-0594,120.0694167,42.21955556,60000 
150430-0597,120.0933333,42.237,10000 
150430-0598,120.0919167,42.21336111,0 
150430-0599,120.0946389,42.21297222,20000 
150430-0605,119.7272222,42.39622222,300 
150430-0606,119.7305556,42.40097222,8100 
150430-0608,119.724,42.39402778,8000 
150430-0609,119.7203889,42.41063889,7500 
150430-0615,119.6539722,42.56561111,0 
150430-0631,119.8334444,42.48405556,150000 
150430-0671,119.7066667,42.41727778,500 
150430-0696,119.8540833,42.51822222,1500 
150430-0708,119.8370556,42.41861111,5000 
150430-0710,119.7518611,42.29997222,1440 
150430-0714,119.7487778,42.31286111,80000 
150430-0716,119.75225,42.33983333,900 
150430-0742,119.7272222,42.40702778,8000 
150430-0832,119.5502778,42.40605556,120000 
150430-0835,119.5941389,42.33052778,120000 
150430-0839,119.5945278,42.33172222,13267 
150430-0840,119.5951667,42.33341667,1500 
150430-0848,119.5516111,42.29180556,45000 
150430-0859,119.6112778,42.32455556,0 
150430-0870,119.6455278,42.24902778,40000 
150430-0884,119.7001389,42.32413889,10000 
150430-0886,119.7222222,42.30572222,1500 
150430-0887,119.72325,42.30819444,10000 
150430-0888,119.7208889,42.31036111,4000 
150430-0966,120.3424722,42.1535,6400 
150430-0972,120.3274722,42.117,6400 
150430-0977,120.4438889,42.10380556,300 
150430-0978,120.4438611,42.10613889,6400 
150430-0979,120.4473889,42.10388889,1050 
150430-0980,120.4445556,42.10686111,2500 
150430-0981,120.4365278,42.10444444,5000 
150430-0982,120.4430556,42.10955556,3600 
150430-0983,120.4298889,42.10655556,3000 
150430-0984,120.4246389,42.11016667,2400 
150430-0993,120.3368056,42.21163889,2500 
150430-1035,120.4391389,42.49333333,300000 
150430-1040,120.4696944,42.50066667,800 
150430-1088,120.4903333,42.50258333,1200 
150430-1104,120.4792222,42.45919444,800 
150430-1204,120.0568889,41.94166667,1600 
150430-1205,120.0516944,41.94336111,3600 
150430-1207,120.0424444,41.93841667,10000 
150430-1209,120.0986667,41.74005556,10000 
150430-1215,120.0701111,41.72913889,40000 
150430-1219,120.0858333,41.725,1256 
150430-1222,120.0561111,41.70405556,25000 
150430-1223,120.0352222,41.73577778,1600 
150430-1229,120.1026944,41.71405556,1000 
150430-1235,120.0604444,41.74663889,2000 
150430-1237,120.0354167,41.74191667,10000 
150430-1250,120.0461944,41.80886111,1000 
150430-1253,120.1304167,41.88005556,10000 
150430-1257,120.1564722,41.84741667,5000 
150430-1264,120.1330833,41.84494444,0 
150430-1266,120.0503333,41.77188889,7850 
150430-1267,120.1361111,41.81505556,15386 
150430-1268,120.134,41.81633333,19600 
150430-1269,120.1314444,41.81947222,15386 
150430-1270,120.1386389,41.81588889,4000 
150430-1281,120.1306944,41.84286111,2500 
150430-1282,120.0259722,41.85555556,10000 
150430-1286,120.0923889,41.84436111,2400 
150430-1291,120.1428056,41.89458333,20000 
150430-1292,120.0973889,41.89905556,7850 
150430-1300,120.1396389,41.79713889,5000 
150430-1301,120.04075,41.85477778,5000 
150430-1302,120.0454167,41.85386111,20000 
150430-1303,120.04925,41.85497222,1600 
150430-1307,120.2291944,41.90313889,0 
150430-1312,120.0417778,41.85611111,2000 
150430-1313,120.0473056,41.85497222,2000 
150430-1314,120.0484444,41.85641667,7850 
150430-1323,120.2239722,41.89725,962 
150430-1325,120.2021389,41.88522222,2000 
150430-1326,120.2119167,41.8695,4000 
150430-1328,120.2036111,41.88619444,6000 
150430-1331,120.2354722,41.87616667,0 
150430-1333,120.2335278,41.87797222,500 
150430-1338,120.202,41.8665,400 
150430-1344,120.1857778,41.88161111,15000 
150430-1345,120.1501111,41.91852778,2000 
150430-1346,120.153,41.91941667,2000 
150430-1347,120.1494167,41.92058333,1590 
150430-1348,120.1285,41.91986111,200 
150430-1354,120.1753333,41.87822222,1000 
150430-1358,120.1443889,41.89619444,4000 
150430-1364,119.9913056,41.87533333,20000 
150430-1365,120.0031111,41.88105556,2000 
150430-1366,120.0043611,41.884,0 
150430-1367,120.0043889,41.8885,2000 
150430-1368,119.9987222,41.89069444,1000 
150430-1370,119.9963889,41.87183333,20000 
150430-1373,120.0086111,41.88825,2000 
150430-1374,119.9956111,41.89047222,2000 
150430-1377,119.9960556,41.89813889,5000 
150430-1378,120.0260833,41.88536111,0 
150430-1380,120.0305278,41.83825,1225 
150430-1391,120.0221111,41.84102778,10000 
150430-1392,120.02225,41.84541667,5000 
150430-1393,120.0258056,41.84375,707 
150430-1394,120.0393056,41.82936111,500 
150430-1395,120.0385556,41.82911111,380 
150430-1396,120.0118889,41.85672222,800 
150430-1397,120.0120278,41.85372222,0 
150430-1398,119.9881944,41.97430556,2500 
150430-1399,119.9849167,41.97194444,400 
150430-1401,120.0959722,42.20472222,1018 
150430-1402,120.09775,42.20119444,500 
150430-1403,120.0987778,42.20416667,1256 
150430-1407,120.1031667,42.17691667,1000 
150430-1413,120.0817222,42.17694444,1500 
150430-1414,120.0782778,42.17161111,1500 
150430-1417,120.0727222,42.14805556,1963 
150430-1418,120.0964167,42.19044444,2000 
150430-1419,120.0945278,42.18363889,1600 
150430-1426,120.1203333,42.23416667,15000 
150430-1429,120.1301667,42.24177778,6000 
150430-1431,120.1342222,42.24161111,1000 
150430-1434,120.1557778,42.25997222,20000 
150430-1447,120.1600556,42.26405556,3600 
150430-1454,120.1326944,42.30291667,10000 
150430-1464,120.2525556,42.31075,4000 
150430-1488,120.2761111,42.26758333,40 
150430-1501,120.2755833,42.26113889,12500 
150430-1503,120.2699167,42.27422222,2205 
150430-1504,120.1730556,42.17013889,2000 
150430-1507,120.18175,42.15983333,8000 
150430-1513,120.1870833,42.17202778,3000 
150430-1516,120.1667222,42.13761111,5000 
150430-1517,120.1637778,42.12111111,300 
150430-1518,120.1685833,42.12405556,600 
150430-1523,120.1143611,42.13419444,4800 
150430-1525,120.1328889,42.12863889,3000 
150430-1527,120.11025,42.12191667,5500 
150430-1531,120.1910833,42.14938889,6000 
150430-1532,120.1729167,42.149,2500 
150430-1533,120.1583889,42.15119444,300 
150430-1536,120.0855833,42.13627778,11000 
150430-1537,120.0886111,42.13469444,900 
150430-1539,120.1109167,42.14733333,1600 
150430-1541,120.1122222,42.14311111,1600 
150430-1546,120.1131667,42.17761111,3000 
150430-1547,120.1344167,42.19363889,4000 
150430-1551,120.1366667,42.15797222,600 
150430-1555,120.1318333,42.18436111,20000 
150430-1556,120.1329444,42.18625,600 
150430-1560,120.1343889,42.20936111,2000 
150430-1588,120.2267222,42.26427778,0 
150430-1603,120.01775,41.84419444,7850 
150430-1607,120.0131667,41.8705,3000 
150430-1609,120.0316944,41.86958333,0 
150430-1610,120.0100556,41.93561111,10000 
150430-1611,120.0010556,41.93644444,380 
150430-1612,119.9998611,41.93633333,0 
150430-1613,119.9525556,41.92908333,10000 
150430-1614,119.9533333,41.93047222,500 
150430-1615,119.9666389,41.91208333,0 
150430-1616,119.9641667,41.91483333,615 
150430-1617,119.9643611,41.91533333,5000 
150430-1618,119.9527222,41.93147222,300 
150430-1620,119.96075,41.96852778,900 
150430-1628,119.9970833,41.94780556,2000 
150430-1633,119.956,41.94683333,3000 
150430-1637,119.9824167,41.92094444,10000 
150430-1639,119.9756944,41.95558333,500 
150430-1641,119.9816111,41.954,7850 
150430-1642,119.95925,41.94977778,2000 
150430-1643,120.0423333,41.95894444,40000 
150430-1644,120.0495278,41.9755,5000 
150430-1646,120.0281111,41.94788889,40000 
150430-1654,120.0938611,41.90055556,2000 
150430-1657,120.0960556,41.97155556,1000 
150430-1658,120.0682222,41.9715,707 
150430-1665,120.0903889,41.88252778,10000 
150430-1668,120.0863889,41.87186111,5000 
150430-1669,120.0870833,41.87130556,2000 
150430-1673,120.1043333,41.96669444,10000 
150430-1675,120.0791111,41.96669444,10000 
150430-1678,120.0811667,41.95891667,3000 
150430-1688,120.0429444,41.82480556,20000 
150430-1702,120.576,42.26377778,3000 
150430-1713,120.0576944,41.99947222,3000 
150430-1714,120.0365,41.996,1600 
150430-1716,120.0446944,42.0035,2400 
150430-1717,120.0396389,42.01352778,314 
150430-1718,120.0420556,42.01336111,2000 
150430-1719,120.04,42.02794444,0 
150430-1722,120.0681667,41.98680556,2500 
150430-1723,120.0691944,42.03288889,1885 
150430-1724,120.0548611,42.04194444,700 
150430-1726,120.0937778,42.01977778,943 
150430-1727,120.0780278,42.01930556,4760 
150430-1728,120.1000556,42.02894444,2000 
150430-1729,120.0855556,42.02375,9000 
150430-1732,120.06925,42.01611111,6000 
150430-1733,120.0729722,42.0175,785 
150430-1736,120.1299167,41.99941667,6400 
150430-1737,120.1261944,41.99663889,2000 
150430-1738,120.1277222,41.99933333,640 
150430-1739,120.1183611,41.98391667,4800 
150430-1740,120.1488889,41.98355556,3480 
150430-1747,120.1740556,42.01505556,3000 
150430-1748,120.1727222,42.17652778,3000 
150430-1755,120.1155833,42.00155556,900 
150430-1756,120.1174722,42.00597222,3000 
150430-1757,120.1038611,41.9885,1800 
150430-1758,120.0996944,41.99019444,2800 
150430-1759,120.0975278,41.98558333,2000 
150430-1761,120.1371389,42.03341667,1750 
150430-1763,120.1716389,41.99519444,2000 
150430-1764,120.1662778,42.00325,1000 
150430-1765,120.1963611,42.00102778,840 
150430-1767,120.1871111,41.98919444,2000 
150430-1768,120.1496111,42.03066667,10000 
150430-1769,120.1473056,42.03497222,0 
150430-1770,120.1684444,42.03083333,2000 
150430-1771,120.2780556,42.03841667,800 
150430-1772,120.2765278,42.03733333,0 
150430-1775,120.2446944,42.03505556,200 
150430-1776,120.2774167,42.01166667,4000 
150430-1778,120.19775,42.02891667,5000 
150430-1779,120.1970556,42.029,1000 
150430-1782,120.2149444,42.028,3000 
150430-1787,120.2758056,42.03980556,5000 
150430-1791,120.2736667,42.00172222,4500 
150430-1792,120.2706389,42.00041667,1200 
150430-1794,120.2961667,42.01125,12000 
150430-1795,120.2575,42.06725,3500 
150430-1796,120.2585833,42.06777778,1500 
150430-1797,120.2604444,42.06702778,1767 
150430-1800,120.2956944,42.04538889,1500 
150430-1811,120.3666944,42.18172222,9000 
150430-1813,120.3908611,42.17197222,6400 
150430-1815,120.4212778,42.24605556,10000 
150430-1816,120.4251111,42.25002778,4000 
150430-1828,120.4340833,42.20891667,5000 
150430-1829,120.4270833,42.21872222,2800 
150430-1830,120.4368889,42.20994444,750 
150430-1832,120.4376111,42.20541667,7500 
150430-1833,120.4118056,42.20105556,10000 
150430-1834,120.4367778,42.20411111,1875 
150430-1836,120.4101944,42.19930556,1400 
150430-1837,120.4211389,42.19430556,12000 
150430-1839,120.3988333,42.20411111,15000 
150430-1841,120.394,42.21569444,7000 
150430-1847,120.4273611,42.18738889,10000 
150430-1853,120.4269167,42.03563889,2000 
150430-1857,120.4510833,42.01305556,13600 
150430-1859,120.4038333,42.01902778,648 
150430-1866,120.3768889,42.06038889,5000 
150430-1872,120.42125,42.05258333,5000 
150430-1874,120.345,42.06583333,3200 
150430-1879,120.3521667,42.06858333,1500 
150430-1880,120.4518333,42.07166667,2500 
150430-1881,120.3460278,42.08216667,2520 
150430-1884,120.4448611,42.08813889,30000 
150430-1885,120.45925,42.06552778,3000 
150430-1888,120.4243333,42.08691667,2700 
150430-1889,120.4418889,42.06811111,600 
150430-1890,120.4050556,42.08502778,5000 
150430-1891,120.4554444,42.09230556,150 
150430-1925,120.0970833,42.09086111,40000 
150430-1928,120.1188889,42.08875,5000 
150430-1929,120.0858889,42.06258333,1610 
150430-1930,120.0961667,42.06197222,8000 
150430-1933,120.1217778,42.06336111,5400 
150430-1937,120.1439167,42.11330556,491 
150430-1940,120.1638333,42.09261111,12000 
150430-1945,120.2092778,42.08869444,5000 
150430-1952,120.1775833,42.06855556,4800 
150430-1971,120.2463889,42.11947222,2400 
150430-1976,120.2472222,42.14875,2500 
150430-1979,120.2909167,42.13563889,6000 
150430-1990,120.2993333,42.18772222,6400 
150430-1996,120.2338889,42.15977778,4000 
150430-1997,120.2300556,42.16022222,4200 
150430-2000,120.2268611,42.17777778,3140 
150430-2012,120.5296389,42.23183333,40000 
150430-2036,120.5123056,42.19897222,10000 
150430-2057,120.4698333,42.21133333,1600 
150430-2064,120.5903611,42.20144444,10000 
150430-2077,120.5964167,42.23522222,3600 
150430-2084,120.5224167,42.14563889,1600 
150430-2092,120.4818611,42.19055556,900 
150430-2103,120.5041944,42.13297222,4800 
150430-2108,120.5050833,42.50508333,1200 
150430-2120,120.6000278,42.18616667,1600 
150430-2121,120.5964167,42.18313889,3000 
150430-2125,120.5461944,42.14891667,8000 
150430-2126,120.544,42.14802778,4800 
150430-2127,120.5457222,42.14533333,6400 
150430-2131,120.5413611,42.15488889,6000 
150430-2132,120.5415833,42.15375,1200 
150430-2134,120.6186667,42.19427778,3600 
150430-2136,120.6021389,42.21616667,2000 
150430-2147,120.6263056,42.22758333,1600 
150430-2152,120.6494167,42.21883333,1600 
150430-2154,120.6580556,42.22063889,8000 
150430-2155,120.6583889,42.22222222,6000 
150430-2157,120.6448056,42.21488889,1600 
150430-2219,120.7729444,42.24669444,48 
150430-2220,120.7924722,42.25422222,400 
150430-2221,120.7876111,42.25352778,210 
150430-2222,120.7915833,42.25183333,300 
150430-2255,120.6084722,42.1655,3600 
150430-2266,120.6839722,42.191,6000 
150430-2267,120.7141667,42.22036111,8000 
150430-2268,120.7053056,42.21861111,2400 
150430-2277,120.6375,42.36580556,0 
150430-2278,120.6419444,42.36722222,1200 
150430-2282,120.5378333,42.28891667,1400 
150430-2287,120.56175,42.31597222,500 
150430-2288,120.5480556,42.31683333,750 
150430-2289,120.5606111,42.31952778,600 
150430-2290,120.5500556,42.31125,2000 
150430-2292,120.5351667,42.28577778,785 
150430-2310,120.5623611,42.31777778,177 
150430-2314,120.5570833,42.31558333,1800 
150430-2318,120.55025,42.31105556,600 
150430-2322,120.5495278,42.29291667,1200 
150430-2323,120.5482222,42.29363889,900 
150430-2324,120.5005556,42.35002778,2400 
150430-2325,120.4974444,42.35130556,900 
150430-2332,120.4908056,42.38913889,300 
150430-2333,120.4917778,42.38969444,1200 
150430-2336,120.4400833,42.32952778,6400 
150430-2348,120.4860833,42.37016667,628 
150430-2349,120.4869722,42.36922222,2356 
150430-2350,120.4903333,42.36722222,8000 
150430-2352,120.4840833,42.37991667,9600 
150430-2362,120.4998056,42.28597222,628 
150430-2369,120.5073889,42.29244444,1800 
150430-2383,120.5033333,42.34288889,10000 
150430-2394,120.44375,42.30783333,3000 
150430-2401,120.3115,42.03833333,1500 
150430-2402,120.30075,42.01733333,3000 
150430-2403,120.3065278,42.03063889,1000 
150430-2404,120.2993611,42.01772222,1590 
150430-2405,120.3100278,42.08691667,4000 
150430-2406,120.3154167,42.06072222,2500 
150430-2407,120.3171944,42.07741667,2000 
150430-2408,120.2992778,42.06752778,2400 
150430-2409,120.3004722,42.07266667,1963 
150430-2410,120.3189722,42.03866667,1200 
150430-2411,120.3290278,42.02808333,1500 
150430-2412,120.3335278,42.00844444,1200 
150430-2415,120.3043889,42.00283333,1225 
150430-2416,120.3166944,42.02116667,500 
150430-2417,120.3152222,42.05913889,1000 
150430-2419,120.3129444,42.05741667,1000 
150430-2421,120.3534722,42.01294444,314 
150430-2422,120.3562778,42.02405556,0 
150430-2423,120.3566667,42.02588889,3000 
150430-2424,120.3451111,42.04275,1885 
150430-2425,120.3399444,42.05102778,295 
150430-2427,120.3513056,42.01583333,1125 
150430-2429,120.3528889,42.03341667,1500 
150430-2431,120.2206111,41.97941667,2600 
150430-2432,120.2573333,42.00055556,5000 
150430-2434,120.2082778,41.99147222,3299 
150430-2437,120.2381944,41.96516667,4000 
150430-2441,120.2586389,41.94763889,1700 
150430-2444,120.2651389,41.94719444,2100 
150430-2448,120.2492778,41.91813889,840 
150430-2449,120.2442778,41.92352778,2250 
150430-2451,120.2765278,41.9855,2826 
150430-2452,120.2840278,41.96588889,378 
150430-2454,120.2671389,41.98825,1600 
150430-2457,120.2133611,41.92508333,3000 
150430-2459,120.2046111,41.93227778,314 
150430-2460,120.2114444,41.94933333,10000 
150430-2462,120.2139167,41.95077778,0 
150430-2463,120.2189444,41.95558333,1590 
150430-2465,120.1251111,41.9705,314 
150430-2466,120.1268611,41.97155556,254 
150430-2467,120.1434722,41.95313889,1256 
150430-2468,120.1584722,41.98202778,1649 
150430-2469,120.1281667,41.97977778,628 
150430-2474,120.1689167,41.97116667,3000 
150430-2476,120.1692778,41.97172222,3200 
150430-2477,120.1454167,41.93991667,3000 
150430-2479,120.1938611,41.91502778,113 
150430-2480,120.18325,41.94205556,2500 
150430-2482,120.1464167,41.93836111,1050 
150430-2484,120.2588333,41.97683333,1963 
150430-2486,120.2795,41.97472222,500 
150430-2490,120.5953056,42.25127778,2000 
150430-2492,120.2928333,41.98519444,2250 
150430-2495,120.302,41.97527778,60000 
150430-2496,120.2911667,41.97536111,1590 
150430-2500,120.6141944,42.24327778,4000 
150430-2503,120.0422778,42.18458333,600 
150430-2510,120.0578333,42.20275,2100 
150430-2512,120.0629722,42.21363889,20000 
150430-2520,120.1784444,42.34575,2000 
150430-2522,120.1774444,42.34977778,1600 
150430-2523,120.1751389,42.34719444,1500 
150430-2524,120.1718333,42.34641667,4900 
150430-2526,120.16175,42.34422222,800 
150430-2527,120.1646667,42.34552778,1000 
150430-2532,120.1608333,42.34691667,8000 
150430-2533,120.1639722,42.3485,8000 
150430-2535,120.1569167,42.34469444,6000 
150430-2550,120.0894722,42.27255556,2400 
150430-2557,120.0396667,42.27811111,2400 
150430-2602,120.6191667,42.23983333,1374 
150430-2603,120.6190833,42.23655556,5000 
150430-2608,120.6195556,42.23919444,350 
150430-2638,120.5698056,42.32811111,5000 
150430-2657,120.54775,42.36475,5000 
150430-2670,120.5991389,42.37219444,3000 
150430-2679,120.6061389,42.38630556,3000 
150430-2734,119.84375,42.27744444,360 
150430-2761,119.9648056,42.22869444,1200 
150430-2786,119.9878333,42.18597222,6000 
150430-2787,119.9888333,42.186,2000 
150430-2853,120.1629167,42.33116667,4200 
150430-2857,120.1576667,42.34311111,40000 
150430-2858,120.1615,42.34447222,30000 
150430-2859,120.1650556,42.34577778,15000 
150430-2860,120.1716111,42.34688889,12000 
150430-2865,120.1776389,42.34988889,7200 
150430-2866,120.1745833,42.34966667,5600 
150430-2896,120.4974167,42.27330556,2000 
150430-2963,120.5356667,42.30913889,1500 
150430-2965,120.5432778,42.32677778,3500 
150430-2986,120.6367222,42.37025,1256 
150430-3043,120.1440556,42.20469444,1000 
